"","Name","Sex","Age","Height","Weight","bmi","Year","Nationality","SubRegion","continent","Population","GDP","countryWins","subRegionWins","HomeAdvantage","Position","Medal","Time","TimeMins","TimeSecs"
"120","Kavita Maheshkumar Tungar (Raut-)","F",31,157,45,18.2563187147552,2016,"India","Southern Asia","Asia",1324171354,2.26379e+12,0,0,FALSE,120,FALSE,"2:59:29",179.483333333333,10769
"121","Breege Connolly","F",38,163,54,20.3244382551093,2016,"Ireland","Northern Europe","Europe",4773095,3.04819e+11,0,0,FALSE,76,FALSE,"2:44:41",164.683333333333,9881
"122","Linda Byrne","F",26,163,50,18.8189243102864,2012,"Ireland","Northern Europe","Europe",4586897,2.25572e+11,0,0,FALSE,66,FALSE,"2:37:13",157.216666666667,9433
"123","Caitriona Jennings","F",32,163,53,19.9480597689036,2012,"Ireland","Northern Europe","Europe",4586897,2.25572e+11,0,0,FALSE,107,FALSE,"3:22:11",202.183333333333,12131
"124","Marie Murphy-Rollins","F",29,168,52,18.4240362811791,1988,"Ireland","Northern Europe","Europe",3524949,37818133413,0,0,FALSE,57,FALSE,"2:54:37",174.616666666667,10477
"125","Ava Hutchinson","F",29,165,51,18.732782369146,2012,"Ireland","Northern Europe","Europe",4586897,2.25572e+11,0,0,FALSE,68,FALSE,"2:37:17",157.283333333333,9437
"126","Ailish Smyth","F",29,171,64,21.8870763653774,1988,"Ireland","Northern Europe","Europe",3524949,37818133413,0,0,FALSE,46,FALSE,"2:44:17",164.283333333333,9857
"127","Maor Tiyouri","F",25,148,44,20.0876552227904,2016,"Israel","Western Asia","Asia",8547100,3.17745e+11,0,1,FALSE,90,FALSE,"2:47:27",167.45,10047
"128","Rosaria Console","F",32,160,42,16.40625,2012,"Italy","Southern Europe","Europe",59539717,2.07282e+12,0,1,FALSE,30,FALSE,"2:30:09",150.15,9009
"129","Maria Curatolo","F",24,147,40,18.5108056828173,1988,"Italy","Southern Europe","Europe",56629288,8.88668e+11,0,1,FALSE,8,FALSE,"2:30:14",150.233333333333,9014
"130","Vincenza Sicari","F",29,165,45,16.5289256198347,2008,"Italy","Southern Europe","Europe",58826731,2.39073e+12,0,1,FALSE,29,FALSE,"2:33:31",153.516666666667,9211
"131","Valeria Straneo","F",36,165,45,16.5289256198347,2012,"Italy","Southern Europe","Europe",59539717,2.07282e+12,0,1,FALSE,8,FALSE,"2:25:27",145.45,8727
"132","Maura Viceconte","F",32,155,47,19.5629552549428,2000,"Italy","Southern Europe","Europe",56942108,1.14176e+12,0,1,FALSE,12,FALSE,"2:29:26",149.433333333333,8966
